Blog	four	looking	second	available	here	k	music	until	example	want	feature	wrong	yourself	series	re	wasn	service	needed	project	tech	came	saying	best	men	asked	much	life	worked	things	had	possible	right	old	people	easy	google	support	happy	inside	later	time	minute	leave	team	along	love	working	following	awesome	such	data	so	years	didn	internet	million	quite	open	future	san	say	saw	note	take	drive	going	where	sites	many	photos	single	summer	being	around	traffic	world	power	favorite	mean	other	her	complete	ad	am	original	tv	th	large	small	past	hours	experience	via	company	learn	states	sense	its	always	found	really	obama	sell	also	play	plan	sometimes	cover	set	see	movie	last	whole	community	recent	person	amp	readers	couple	d	continue	anything	into	link	line	us	ago	having	send	try	video	let	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	android	off	less	web	five	become	announced	told	word	work	law	order	office	then	them	network	another	do	away	com	information	launched	hand	photo	night	post	months	way	update	together	cost	change	live	car	write	product	remember	still	non	half	now	year	space	shows	care	than	online	only	between	article	comes	these	media	thinking	real	read	early	using	business	lot	since	month	very	learned	family	takes	site	history	help	soon	actually	feel	beyond	event	issue	reason	put	american	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	some	run	step	within	similar	doesn	go	does	facebook	download	click	started	control	links	software	including	him	front	ask	times	long	need	able	based	course	written	key	problem	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	changes	left	human	yes	yet	deal	down	daily	did	box	making	may	man	maybe	talk	nbsp	group	interesting	policy	morning	after	thing	think	first	fast	little	anyone	were	performance	especially	shot	show	behind	black	get	nearly	enough	reading	across	according	those	different	same	running	money	audience	trying	videos	again	important	chris	u	forget	public	search	published	two	share	needs	coming	through	good	everyone	house	hard	idea	members	done	least	part	believe	b	build	most	find	please	point	simple	create	fun	itself	development	spent	spend	big	bit	often	back	either	use	forward	entire	access	body	others	private	names	ll	day	text	national	taking	gone	value	almost	thought	latest	add	happens	ways	buy	minutes	special	starting	under	every	changed	would	phone	me	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	been	quickly	several	social	everything	head	check	no	focus	cool	level	posts	quick	says	goes	water	today	platform	happened	name	she	turn	place	white	released	any	ideas	sure	state	review	come	case	myself	someone	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	number	story	kind	added	nothing	his	art	recently	attention	questions	customers	question	called	nice	users	helping	once	issues	include	app	few	women	something	six	instead	light	looks	our	york	g	july	which	who	why	local	ones	view	job	will	gets	know	press	because	getting	own	apps	made	record	below	percent	book	understand
Schneier on Security	0	1	0	0	1	0	1	0	0	1	1	0	0	0	2	0	2	1	0	0	1	0	0	3	1	1	1	0	0	3	1	0	0	5	1	2	0	0	0	0	0	0	0	9	0	0	1	0	0	0	1	1	1	1	1	2	0	0	0	0	2	0	0	1	0	1	2	1	1	0	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	8	1	1	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	1	0	2	0	0	0	0	0	0	0	1	1	0	1	2	0	1	1	1	2	0	1	0	0	1	1	0	0	0	4	2	0	0	1	1	0	0	0	0	0	5	0	2	3	0	3	0	0	1	5	0	0	0	0	1	0	2	0	0	2	0	0	4	0	0	0	1	0	0	1	1	0	0	0	1	1	2	0	5	0	1	1	0	3	0	0	6	2	1	1	0	1	0	0	0	3	1	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	4	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	1	1	1	0	1	0	2	1	2	1	0	0	8	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	2	1	0	2	0	3	3	0	0	0	3	1	1	0	0	0	1	1	1	0	2	2	0	1	0	0	1	0	2	4	0	0	3	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	2	0	0	4	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	4	0	0	2	0	0	0	1	0	6	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	6	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	3	1	4	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	3	1	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	1	0	5	0	0	0	1	0	0	1	0	0	2	3	1	3	0	0	0	2	3	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	2	0
PaulStamatiou.com - Technology, Design and Photography	2	5	12	3	11	2	4	9	8	15	6	0	0	1	21	6	4	16	3	6	3	2	12	0	7	62	7	5	19	47	6	10	13	30	4	16	5	2	5	9	46	0	2	22	12	7	33	0	1	10	4	35	6	14	0	0	10	4	1	2	3	0	6	16	1	12	20	6	11	13	6	2	6	20	3	6	1	1	1	25	1	1	4	5	2	1	0	2	6	4	6	15	4	3	6	1	7	4	6	8	5	0	0	30	2	0	0	4	9	15	0	24	3	2	5	1	13	1	0	19	3	4	32	2	5	9	8	14	4	8	54	11	12	2	11	13	20	3	4	1	24	13	2	0	1	14	1	3	3	3	0	9	31	8	6	13	0	2	3	2	1	28	0	0	6	23	32	2	10	27	5	19	0	5	0	13	2	30	10	16	7	3	1	9	5	1	4	10	1	18	3	1	29	15	3	43	1	9	0	74	7	6	3	10	7	8	13	4	6	18	0	3	15	9	14	4	2	3	39	1	6	1	8	13	3	2	2	6	7	0	7	4	2	10	11	2	5	3	7	1	47	27	11	25	2	33	7	10	2	0	3	9	8	1	0	8	15	4	1	2	4	1	3	6	5	8	17	11	2	7	1	1	6	13	30	45	4	10	3	3	0	3	0	4	13	1	3	3	2	6	5	2	3	11	1	49	4	3	2	7	2	5	0	6	1	10	18	3	1	2	7	0	2	5	63	42	21	3	1	0	2	4	0	13	3	10	0	3	7	0	0	3	0	5	3	6	1	30	11	13	29	5	2	1	31	3	3	2	8	3	1	42	0	8	5	2	0	7	7	12	9	1	0	4	11	4	0	1	0	0	3	1	0	16	8	2	2	19	12	4	1	9	7	0	10	1	18	3	3	14	13	7	2	14	8	14	1	2	8	2	3	8	15	10	10	4	31	4	5	9	0	4	0	1	18	12	0	0	8	2	3	3	11	3	5	2	1	1	4	0	3	1	13	8	68	4	27	5	9	18	4	12	8	1	17	8	7	5	19	3	5	10	1	13	0	5	8	6	18	6	5	1	5	1	3	23	2	0	7	7	5	2	2	0	2	3	0	7	0	2	7	0	1	20	4	10	4	7	7	5	7	4	20	10	63	3	13	32	2	0	3	4	78	9	1	2	4	9	2	4	2	2	2	8	2	5	2	10	1	1	5	2	13	1	0	9	2	24	29	0	23	1	6	1	1	42	1	3	1	11	2	9	0	2	7	4	65	0	11	1	5	15	16	6	13	17	5	0	1	3
Search Engine Roundtable	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	11	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	10	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	3	0	0	0	1	1	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	1	0	0	2	0	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	6	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	3	0	1	2	0	0	1	0	0	0	0	1	0	1	3	0	0	0	3	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	1
Engadget RSS Feed	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	4	0	0	2	3	0	0	3	0	1	1	0	0	3	1	0	0	0	3	0	0	2	0	1	0	1	0	0	1	1	1	0	2	1	0	2	0	0	2	1	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	2	0	4	0	0	0	9	0	0	1	0	0	2	2	1	0	0	1	0	1	1	0	1	1	0	1	0	0	2	0	1	3	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	3	3	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	2	0	2	0	0	2	2	0	0	1	0	1	0	0	0	0	1	2	0	6	1	0	1	1	2	0	3	3	0	2	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	0	0	0	0	2	0	3	1	9	0	0	2	1	0	1	3	0	0	2	4	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	1	0	5	2	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	2	2	4	1	3	3	0	3	2	1	0	1	0	1	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	2	0	3	0	0	1	4	1	0	0	2	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	1	2	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	2	0	3	0	0	4	0	1	0	0	1	0	0	1	1	0	4	0	0	1	0	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	5	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	2	0	1	0	2	0	1	0	0	1	0	0	1	0	1	3	0	1	1	4	0	1	1	1	0	0	0	0	3	1	2	1	0	2	0	1	0	0	2	2	0	0
TMZ.com	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	3	2	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	3	0	1	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	3	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	4	1	1	0	0	1	0	0	0	0	0	0	2	3	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	14	0	0	6	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	2	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	0	4	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	7	0	0	1	0	0	0	5	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0
A Consuming Experience (full feed)	0	0	0	1	16	0	0	1	2	9	0	2	0	0	13	1	0	2	1	1	2	2	4	0	1	1	0	9	2	12	5	10	6	9	1	0	2	0	5	4	13	0	1	0	0	1	7	2	0	0	1	27	2	5	3	0	0	29	0	0	2	0	4	3	1	2	8	0	3	0	2	0	0	0	0	0	0	0	0	13	0	1	0	1	11	2	0	0	0	1	3	0	2	0	0	0	0	6	6	11	3	0	0	10	0	0	1	1	6	20	0	0	0	0	0	0	2	0	1	7	3	6	0	0	2	0	0	4	0	18	1	2	0	0	5	8	2	0	3	1	8	10	1	0	0	13	2	0	1	0	1	19	0	3	1	1	0	0	0	0	20	15	0	1	0	34	8	3	2	16	0	0	0	0	0	0	0	9	0	15	4	0	0	2	0	0	0	0	1	4	0	0	14	0	4	0	1	5	2	19	1	0	0	0	0	1	1	2	0	17	0	3	2	0	2	0	0	3	3	0	2	2	0	1	0	0	0	2	0	0	0	3	1	0	4	8	2	2	11	3	5	1	2	2	0	14	4	2	3	1	7	14	1	0	8	18	2	0	0	0	0	0	0	0	1	3	8	1	3	0	1	3	10	5	2	0	0	0	0	0	0	0	0	1	13	5	0	1	0	0	1	0	0	12	2	3	0	0	0	0	3	0	0	1	0	19	1	5	1	0	0	2	0	0	1	54	18	2	10	0	5	3	1	8	0	2	3	0	15	0	0	0	29	0	0	0	0	13	2	1	10	1	0	0	3	0	1	0	2	0	0	17	0	2	0	3	0	4	2	17	6	0	0	7	0	16	1	0	0	0	0	6	0	4	0	0	0	1	1	0	0	1	0	0	1	3	0	0	1	0	5	9	6	1	0	1	0	3	0	0	1	2	13	0	9	1	18	1	0	0	0	1	0	3	8	1	3	0	2	0	1	1	0	0	18	0	2	0	4	0	3	0	5	2	2	0	12	8	1	12	0	2	4	6	1	1	7	8	3	1	0	3	0	2	2	4	6	0	5	2	0	0	3	0	6	10	0	0	0	1	3	1	1	0	0	0	1	13	0	1	1	0	0	2	0	11	0	6	0	4	1	0	0	5	18	5	1	24	0	7	3	3	0	22	0	1	0	1	4	0	1	2	2	0	0	2	0	0	0	0	1	0	2	1	4	4	0	0	1	0	5	0	4	0	2	0	0	0	0	16	3	3	0	1	10	0	11	2	2	7	14	2	3	0	4	0	5	0	0	0
Latest from Crooks and Liars	0	0	1	1	1	1	1	3	1	1	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	2	3	0	1	7	0	2	1	5	0	1	0	0	0	0	2	0	0	0	1	1	1	0	0	1	0	6	1	4	0	0	0	1	0	3	2	1	0	0	0	1	2	0	1	0	0	0	2	1	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	3	0	1	1	6	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	3	0	0	1	3	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	3	2	4	4	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	2	0	3	0	0	1	1	0	1	1	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	1	0	4	3	0	0	0	1	1	0	0	1	3	0	0	1	1	1	0	0	0	0	0	2	3	0	0	0	19	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	6	2	0	0	0	5	1	0	0	3	0	1	3	2	0	0	0	0	2	0	0	0	0	1	0	3	0	5	1	0	1	0	2	0	0	0	0	2	1	1	1	0	0	0	0	0	2	1	0	0	2	0	0	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	1	3	1	0	2	0	0	2	3	0	0	4	0	0	2	0	2	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	2	1	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	1	0	1	0	4	0	0	1	1	0	0	1	0	1	0	3	0	0	0	0	0	2	2	3	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	7	1	1	2	0	2	0	0	5	0	2	2	0	0	0	2	1	1	0	2	0	0	2	0	0	0	2	0	1	0	0	1	0	2	2	12	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	0	1	8	6	2	0	0	1	0	10	1	1	0	7	1	2	0	2	2	0	0	1	0
Publishing 2.0	0	1	2	0	7	0	0	0	2	1	6	1	0	0	8	0	1	0	2	0	0	0	3	0	1	3	0	0	1	5	0	6	1	5	1	9	1	0	0	0	2	0	0	1	1	0	0	0	2	0	1	13	2	0	4	1	1	2	21	0	1	1	0	1	0	3	4	6	6	0	0	1	2	4	2	2	1	0	0	7	0	0	9	6	2	2	0	0	0	0	0	0	0	3	0	0	0	4	0	1	0	0	4	1	1	0	1	1	2	2	0	5	0	0	3	0	0	6	0	1	2	0	1	14	0	6	1	0	2	0	0	1	5	0	1	2	0	2	0	2	5	2	0	0	1	4	1	0	1	0	0	6	0	1	1	22	1	3	1	0	0	1	0	0	0	2	1	2	0	2	5	10	3	3	0	1	0	9	1	4	1	1	0	2	0	0	0	1	0	1	0	0	7	1	2	1	2	3	9	1	0	5	2	5	14	2	0	1	0	2	7	3	2	0	2	0	0	0	11	1	2	0	1	0	2	0	0	1	3	0	0	0	0	0	0	0	2	0	2	1	0	2	2	2	2	5	0	1	0	1	2	1	0	4	0	0	2	2	9	0	0	0	2	2	4	1	2	0	1	1	0	0	1	2	13	7	0	8	10	0	0	0	8	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	15	2	2	1	3	0	6	5	1	0	0	1	0	2	3	0	10	4	1	2	2	0	1	0	2	2	0	0	3	3	0	0	1	0	0	2	0	0	0	1	2	9	5	0	3	0	0	0	0	1	1	0	6	0	3	8	1	1	2	0	0	0	3	1	2	0	0	7	0	1	2	0	1	3	4	1	3	0	5	1	1	1	1	1	0	0	1	0	1	0	0	13	1	0	0	2	1	0	0	0	0	0	4	1	2	2	0	2	0	1	0	0	1	0	0	2	0	3	1	0	1	5	1	0	0	0	1	0	0	0	0	0	0	2	2	2	0	1	2	2	4	1	1	3	2	0	3	1	1	2	0	0	1	0	0	3	5	0	57	5	0	1	1	2	3	0	5	3	1	1	0	0	0	1	0	5	2	1	1	0	0	0	0	0	3	0	1	2	0	2	2	0	1	5	1	3	1	6	11	0	2	0	0	0	0	0	2	0	1	2	4	5	1	1	4	0	1	1	1	0	4	4	0	1	3	0	0	1	0	4	0	0	0	1	0	1	7	5	1	0	12	2	9	3	0	0	0	14	2	2	3	5	0	2	0	0	0	0	0	2	1
